name,local-authority
essex county,local-authority-eng:ESS
essex county council,local-authority-eng:ESS
falkirk,local-authority-sct:FAL
falkirk council,local-authority-sct:FAL
fermanagh and omagh,local-authority-nir:FMO
fife,local-authority-sct:FIF
fife council,local-authority-sct:FIF
flintshire,local-authority-wls:FLN
flintshire county council,local-authority-wls:FLN
gateshead,local-authority-eng:GAT
gateshead district,local-authority-eng:GAT
gateshead metropolitan borough council,local-authority-eng:GAT
glasgow,local-authority-sct:GLG
glasgow city,local-authority-sct:GLG
glasgow city coucil,local-authority-sct:GLG
glasgow city council,local-authority-sct:GLG
gloucestershire,local-authority-eng:GLS
gloucestershire county,local-authority-eng:GLS
gloucestershire county council,local-authority-eng:GLS
great yarmouth,local-authority-eng:GRY
great yarmouth borough council,local-authority-eng:GRY
great yarmouth district,local-authority-eng:GRY
greater london,local-authority-eng:GLA
greenwich,local-authority-eng:GRE
greenwich london boro,local-authority-eng:GRE
gwynedd,local-authority-wls:GWN
gwynedd council,local-authority-wls:GWN
hackney,local-authority-eng:HCK
hackney london boro,local-authority-eng:HCK
halton,local-authority-eng:HAL
halton borough council,local-authority-eng:HAL
hammersmith and fulham,local-authority-eng:HMF
hammersmith and fulham london boro,local-authority-eng:HMF
hampshire,local-authority-eng:HAM
hampshire county,local-authority-eng:HAM
hampshire county council,local-authority-eng:HAM
haringey,local-authority-eng:HRY
haringey london boro,local-authority-eng:HRY
harrow,local-authority-eng:HRW
harrow london boro,local-authority-eng:HRW
hart,local-authority-eng:HAT
hart district,local-authority-eng:HAT
hart district council,local-authority-eng:HAT
hartlepool,local-authority-eng:HPL
hartlepool borough council,local-authority-eng:HPL
havering,local-authority-eng:HAV
havering london boro,local-authority-eng:HAV
herefordshire,local-authority-eng:HEF
herefordshire council,local-authority-eng:HEF
"herefordshire, county of",local-authority-eng:HEF
highands,local-authority-sct:HLD
highland,local-authority-sct:HLD
highlands,local-authority-sct:HLD
hillingdon,local-authority-eng:HIL
hillingdon london boro,local-authority-eng:HIL
hounslow,local-authority-eng:HNS
hounslow london boro,local-authority-eng:HNS
hull city,local-authority-eng:KHL
hull city council,local-authority-eng:KHL
inverclyde,local-authority-sct:IVC
inverclyde council,local-authority-sct:IVC
isle of anglesey,local-authority-wls:AGY
isle of anglesey county council,local-authority-wls:AGY
isle of wight,local-authority-eng:IOW
isle of wight council,local-authority-eng:IOW
isles of scilly,local-authority-eng:IOS
islington,local-authority-eng:ISL
islington london boro,local-authority-eng:ISL
kensington and chelsea,local-authority-eng:KEC
kensington and chelsea london boro,local-authority-eng:KEC
kent,local-authority-eng:KEN
kent county,local-authority-eng:KEN
kent county council,local-authority-eng:KEN
king's lynn and west norfolk,local-authority-eng:KIN
king's lynn and west norfolk district,local-authority-eng:KIN
kings lynn and west norfolk,local-authority-eng:KIN
kingston upon hull,local-authority-eng:KHL
kingston upon hull city of,local-authority-eng:KHL
"kingston upon hull, city of",local-authority-eng:KHL
kingston upon thames,local-authority-eng:KTT
kingston upon thames london boro,local-authority-eng:KTT
kingston-upon-thames,local-authority-eng:KTT
kirklees,local-authority-eng:KIR
kirklees council,local-authority-eng:KIR
kirklees district,local-authority-eng:KIR
knowsley,local-authority-eng:KWL
knowsley council,local-authority-eng:KWL
knowsley district,local-authority-eng:KWL
lambeth,local-authority-eng:LBH
lambeth london boro,local-authority-eng:LBH
lancashire,local-authority-eng:LAN
lancashire county,local-authority-eng:LAN
lancashire county council,local-authority-eng:LAN
lancaster,local-authority-eng:LAC
lancaster city,local-authority-eng:LAC
lancaster city council,local-authority-eng:LAC
lancaster district,local-authority-eng:LAC
leeds,local-authority-eng:LDS
leeds city council,local-authority-eng:LDS
leeds district,local-authority-eng:LDS
leicester,local-authority-eng:LCE
leicester city,local-authority-eng:LCE
leicester city council,local-authority-eng:LCE
leicestershire,local-authority-eng:LEC
leicestershire county,local-authority-eng:LEC
leicestershire county council,local-authority-eng:LEC
lewisham,local-authority-eng:LEW
lewisham london boro,local-authority-eng:LEW
lincolnshire,local-authority-eng:LIN
lincolnshire county,local-authority-eng:LIN
lincolnshire county council,local-authority-eng:LIN
lisburn and castlereagh,local-authority-nir:LBC
lisburn and castlereagh city,local-authority-nir:LBC
liverpool,local-authority-eng:LIV
liverpool city council,local-authority-eng:LIV
liverpool district,local-authority-eng:LIV
london borough of barking and dagenham,local-authority-eng:BDG
london borough of bexley,local-authority-eng:BEX
london borough of brent,local-authority-eng:BEN
london borough of bromley,local-authority-eng:BRY
london borough of camden,local-authority-eng:CMD
london borough of croydon,local-authority-eng:CRY
london borough of ealing,local-authority-eng:EAL
london borough of enfield,local-authority-eng:ENF
london borough of hackney,local-authority-eng:HCK
london borough of hammersmith and fulham,local-authority-eng:HMF
london borough of haringey,local-authority-eng:HRY
london borough of harrow,local-authority-eng:HRW
london borough of havering,local-authority-eng:HAV
london borough of hillingdon,local-authority-eng:HIL
london borough of hounslow,local-authority-eng:HNS
london borough of islington,local-authority-eng:ISL
london borough of lambeth,local-authority-eng:LBH
london borough of lewisham,local-authority-eng:LEW
london borough of merton,local-authority-eng:MRT
london borough of newham,local-authority-eng:NWM
london borough of redbridge,local-authority-eng:RDB
london borough of richmond upon thames,local-authority-eng:RIC
london borough of southwark,local-authority-eng:SWK
london borough of sutton,local-authority-eng:STN
london borough of tower hamlets,local-authority-eng:TWH
london borough of waltham forest,local-authority-eng:WFT
london borough of wandsworth,local-authority-eng:WND
luton,local-authority-eng:LUT
luton borough council,local-authority-eng:LUT
manchester,local-authority-eng:MAN
manchester city council,local-authority-eng:MAN
manchester district,local-authority-eng:MAN
medway,local-authority-eng:MDW
medway council,local-authority-eng:MDW
merthyr tudful,local-authority-wls:MTY
merthyr tydfil,local-authority-wls:MTY
merthyr tydfil county borough council,local-authority-wls:MTY
merthyr tydfil ua,local-authority-wls:MTY
merton,local-authority-eng:MRT
merton london boro,local-authority-eng:MRT
mid and east antrim,local-authority-nir:MEA
mid ulster,local-authority-nir:MUL
middlesbrough,local-authority-eng:MDB
middlesbrough borough council,local-authority-eng:MDB
midlothian,local-authority-sct:MLN
midlothian council,local-authority-sct:MLN
milton keynes,local-authority-eng:MIK
milton keynes council,local-authority-eng:MIK
monmouthshire,local-authority-wls:MON
monmouthshire county council,local-authority-wls:MON
moray,local-authority-sct:MRY
moray council,local-authority-sct:MRY
na h-eileanan an iar,local-authority-sct:ELS
neath port talbot,local-authority-wls:NTL
neath port talbot county borough council,local-authority-wls:NTL
newcastle city council,local-authority-eng:NET
newcastle upon tyne,local-authority-eng:NET
newcastle upon tyne district,local-authority-eng:NET
newcastle-under-lyme,local-authority-eng:NEC
newcastle-under-lyme district,local-authority-eng:NEC
newcastle-under-lyme district council,local-authority-eng:NEC
newham,local-authority-eng:NWM
newham london boro,local-authority-eng:NWM
newport,local-authority-wls:NWP
newport city council,local-authority-wls:NWP
"newry, mourne and down",local-authority-nir:NMD
norfolk,local-authority-eng:NFK
norfolk county,local-authority-eng:NFK
norfolk county council,local-authority-eng:NFK
