entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
228,2016-10-21T16:11:20Z,SWL,NMD,Non-metropolitan district,Swale Borough Council,Swale,,,,E07000113,29UM,
227,2016-10-21T16:11:20Z,SHE,NMD,Non-metropolitan district,Shepway District Council,Shepway,,,,E07000112,29UL,
226,2016-10-21T16:11:20Z,SEV,NMD,Non-metropolitan district,Sevenoaks District Council,Sevenoaks,,,,E07000111,29UK,
225,2016-10-21T16:11:20Z,MAI,NMD,Non-metropolitan district,Maidstone Borough Council,Maidstone,,,,E07000110,29UH,
224,2016-10-21T16:11:20Z,GRA,NMD,Non-metropolitan district,Gravesham Borough Council,Gravesham,,,,E07000109,29UG,
223,2016-10-21T16:11:20Z,DOV,NMD,Non-metropolitan district,Dover District Council,Dover,,,,E07000108,29UE,
222,2016-10-21T16:11:20Z,DAR,NMD,Non-metropolitan district,Dartford Borough Council,Dartford,,,,E07000107,29UD,
221,2016-10-21T16:11:20Z,CAT,NMD,Non-metropolitan district,Canterbury City Council,Canterbury,,,,E07000106,29UC,
220,2016-10-21T16:11:20Z,ASF,NMD,Non-metropolitan district,Ashford Borough Council,Ashford,,,,E07000105,29UB,
219,2016-10-21T16:11:20Z,KEN,CTY,County,Kent County Council,Kent,,,,E10000016,886,29-00
218,2016-10-21T16:11:20Z,WEW,NMD,Non-metropolitan district,Welwyn Hatfield Borough Council,Welwyn Hatfield,,,,E07000241,26UL,
217,2016-10-21T16:11:20Z,WAT,NMD,Non-metropolitan district,Watford Borough Council,Watford,,,,E07000103,26UK,
216,2016-10-21T16:11:20Z,THE,NMD,Non-metropolitan district,Three Rivers District Council,Three Rivers,,,,E07000102,26UJ,
215,2016-10-21T16:11:20Z,STV,NMD,Non-metropolitan district,Stevenage Borough Council,Stevenage,,,,E07000243,26UH,
214,2016-10-21T16:11:20Z,SAL,NMD,Non-metropolitan district,St Albans City and District Council,St Albans,,,,E07000240,26UG,
213,2016-10-21T16:11:20Z,NHE,NMD,Non-metropolitan district,North Hertfordshire District Council,North Hertfordshire,,,,E07000099,26UF,
212,2016-10-21T16:11:20Z,HER,NMD,Non-metropolitan district,Hertsmere Borough Council,Hertsmere,,,,E07000098,26UE,
