Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,HAG,local-authority-eng:HAG,NMD,Non-metropolitan district,NYK,Harrogate Borough Council,Harrogate,,,,,E07000165,,36UD,,36UD,7000000000021490,E2753,
local-authority-eng,HAE,local-authority-eng:HAE,NMD,Non-metropolitan district,NYK,Hambleton District Council,Hambleton,,,,,E07000164,,36UC,,36UC,7000000000021480,E2732,
local-authority-eng,CRA,local-authority-eng:CRA,NMD,Non-metropolitan district,NYK,Craven District Council,Craven,,,,,E07000163,,36UB,,36UB,7000000000021690,E2731,
local-authority-eng,NYK,local-authority-eng:NYK,CTY,County,,North Yorkshire County Council,North Yorkshire,,,,,E10000023,,815,36-00,36,7000000000022020,E2721,
local-authority-eng,RUS,local-authority-eng:RUS,NMD,Non-metropolitan district,NTT,Rushcliffe Borough Council,Rushcliffe,,,,,E07000176,,37UJ,,37UJ,7000000000007730,E3038,
local-authority-eng,NEA,local-authority-eng:NEA,NMD,Non-metropolitan district,NTT,Newark and Sherwood District Council,Newark and Sherwood,Newark & Sherwood,,,,E07000175,,37UG,,37UG,7000000000008100,E3036,
local-authority-eng,MAS,local-authority-eng:MAS,NMD,Non-metropolitan district,NTT,Mansfield District Council,Mansfield,,,,,E07000174,,37UF,,37UF,7000000000008160,E3035,
local-authority-eng,GED,local-authority-eng:GED,NMD,Non-metropolitan district,NTT,Gedling Borough Council,Gedling,,,,,E07000173,,37UE,,37UE,7000000000007910,E3034,
local-authority-eng,BRT,local-authority-eng:BRT,NMD,Non-metropolitan district,NTT,Broxtowe Borough Council,Broxtowe,,,,,E07000172,,37UD,,37UD,7000000000007990,E3033,
local-authority-eng,BAE,local-authority-eng:BAE,NMD,Non-metropolitan district,OXF,Bassetlaw District Council,Bassetlaw,,,,,E07000171,,37UC,,37UC,7000000000008120,E3032,
local-authority-eng,ASH,local-authority-eng:ASH,NMD,Non-metropolitan district,NTT,Ashfield District Council,Ashfield,,,,,E07000170,,37UB,,37UB,7000000000007960,E3031,
local-authority-eng,NTT,local-authority-eng:NTT,CTY,County,,Nottinghamshire County Council,Nottinghamshire,,,,,E10000024,,891,37-00,37,7000000000008120,E3021,
local-authority-eng,WEL,local-authority-eng:WEL,NMD,Non-metropolitan district,NTH,Wellingborough Borough Council,Wellingborough,,,,,E07000156,,34UH,,34UH,7000000000007350,E2837,
local-authority-eng,SNR,local-authority-eng:SNR,NMD,Non-metropolitan district,NTH,South Northamptonshire Council,South Northamptonshire,,,,,E07000155,,34UG,,34UG,7000000000007300,E2836,
local-authority-eng,NOR,local-authority-eng:NOR,NMD,Non-metropolitan district,NTH,Northampton Borough Council,Northampton,,,,,E07000154,,34UF,,34UF,7000000000007470,E2835,
local-authority-eng,KET,local-authority-eng:KET,NMD,Non-metropolitan district,NTH,Kettering Borough Council,Kettering,,,,,E07000153,,34UE,,34UE,7000000000007400,E2834,
local-authority-eng,ENO,local-authority-eng:ENO,NMD,Non-metropolitan district,NYK,East Northamptonshire Council,East Northamptonshire,,,,,E07000152,,34UD,,34UD,7000000000007300,E2833,
local-authority-eng,DAV,local-authority-eng:DAV,NMD,Non-metropolitan district,NTH,Daventry District Council,Daventry,,,,,E07000151,,34UC,,34UC,7000000000007450,E2832,
local-authority-eng,COR,local-authority-eng:COR,NMD,Non-metropolitan district,NTH,Corby Borough Council,Corby,,,,,E07000150,,34UB,,34UB,7000000000007280,E2831,
local-authority-eng,NTH,local-authority-eng:NTH,CTY,County,,Northamptonshire County Council,Northamptonshire,,,,,E10000021,,928,34-00,34,7000000000007370,E2820,
local-authority-eng,SNO,local-authority-eng:SNO,NMD,Non-metropolitan district,NFK,South Norfolk District Council,South Norfolk,,,,,E07000149,,33UH,,33UH,7000000000006720,E2637,
local-authority-eng,NOW,local-authority-eng:NOW,NMD,Non-metropolitan district,NFK,Norwich City Council,Norwich,,,,,E07000148,,33UG,,33UG,7000000000006750,E2636,
local-authority-eng,NNO,local-authority-eng:NNO,NMD,Non-metropolitan district,NFK,North Norfolk District Council,North Norfolk,,,,,E07000147,,33UF,,33UF,7000000000007020,E2635,
local-authority-eng,KIN,local-authority-eng:KIN,NMD,Non-metropolitan district,NFK,Borough Council of Kings Lynn and West Norfolk,Kings Lynn and West Norfolk,King's Lynn & West Norfolk,Kings Lynn & West Norfolk,,,E07000146,,33UE,,33UE,7000000000007010,E2634,
