name,local-authority,,
ealing,local-authority-eng:EAL,EAL,EAL
ealing london boro,local-authority-eng:EAL,EAL,EAL
ease dunbartonshire,local-authority-sct:EDU,EDU,EDU
east ayrshire,local-authority-sct:EAY,EAY,EAY
east ayrshire council,local-authority-sct:EAY,EAY,EAY
east devon,local-authority-eng:EDE,EDE,EDE
east devon district,local-authority-eng:EDE,EDE,EDE
east devon district council,local-authority-eng:EDE,EDE,EDE
east dorset,local-authority-eng:EDO,EDO,EDO
east dorset district,local-authority-eng:EDO,EDO,EDO
east dorset district council,local-authority-eng:EDO,EDO,EDO
east dunbaronshire,local-authority-sct:EDU,EDU,EDU
east dunbarton,local-authority-sct:EDU,EDU,EDU
east dunbartonshire,local-authority-sct:EDU,EDU,EDU
east dunbartonshire council,local-authority-sct:EDU,EDU,EDU
east dunnbartonshire,local-authority-sct:EDU,EDU,EDU
east hampshire,local-authority-eng:EHA,EHA,EHA
east hampshire district,local-authority-eng:EHA,EHA,EHA
east hampshire district council,local-authority-eng:EHA,EHA,EHA
east hertfordshire,local-authority-eng:EHE,EHE,EHE
east hertfordshire district,local-authority-eng:EHE,EHE,EHE
east hertfordshire district council,local-authority-eng:EHE,EHE,EHE
east lindsey,local-authority-eng:ELI,ELI,ELI
east lindsey district,local-authority-eng:ELI,ELI,ELI
east lindsey district council,local-authority-eng:ELI,ELI,ELI
east lothian,local-authority-sct:ELN,ELN,ELN
east lothian council,local-authority-sct:ELN,ELN,ELN
east renfrewshire,local-authority-sct:ERW,ERW,ERW
east renfrewshire council,local-authority-sct:ERW,ERW,ERW
east riding of yorkshire,local-authority-eng:ERY,ERY,ERY
east riding of yorkshire council,local-authority-eng:ERY,ERY,ERY
east staffordshire,local-authority-eng:EAS,EAS,EAS
east staffordshire borough council,local-authority-eng:EAS,EAS,EAS
east staffordshire district,local-authority-eng:EAS,EAS,EAS
east sussex,local-authority-eng:ESX,ESX,ESX
east sussex county,local-authority-eng:ESX,ESX,ESX
east sussex county council,local-authority-eng:ESX,ESX,ESX
edinburgh (city of),local-authority-sct:EDH,EDH,EDH
"edinburgh, city of",local-authority-sct:EDH,EDH,EDH
eilean,local-authority-sct:ELS,ELS,ELS
eilean siar,local-authority-sct:ELS,ELS,ELS
enfield,local-authority-eng:ENF,ENF,ENF
enfield london boro,local-authority-eng:ENF,ENF,ENF
essex,local-authority-eng:ESS,ESS,ESS
essex county,local-authority-eng:ESS,ESS,ESS
essex county council,local-authority-eng:ESS,ESS,ESS
falkirk,local-authority-sct:FAL,FAL,FAL
falkirk council,local-authority-sct:FAL,FAL,FAL
fermanagh and omagh,local-authority-nir:FMO,FMO,FMO
fife,local-authority-sct:FIF,FIF,FIF
fife council,local-authority-sct:FIF,FIF,FIF
flintshire,local-authority-wls:FLN,FLN,FLN
